trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,mdat,2,60591,0.8126598639455781,,22546.57596371849,475
2,moof,2,61066,0.061066,,,frames=971
2,mdat,2,61066,0.8126598639455781,,22546.57596371849,487
2,moof,2,61553,0.061553,,,frames=971
2,mdat,2,61553,0.8126598639455781,,22546.57596371849,488
2,moof,2,62041,0.062041,,,frames=971
2,mdat,2,62041,0.8126598639455781,,22546.57596371849,468
2,moof,2,62509,0.062509,,,frames=971
2,mdat,2,62509,0.8126598639455781,,22546.57596371849,479
2,moof,2,62988,0.062988,,,frames=971
2,mdat,2,62988,0.8126598639455781,,22546.57596371849,485
2,moof,2,63473,0.063473,,,frames=971
